Feature,mean,median,std,max,min
loudness,0.532280824254569,0.5316794339562257,0.013933528605631967,0.6252328673117588,0.47928608590606636
liveness,0.5138431550489311,0.5140502347292788,0.0007574094570211177,0.5148504425662166,0.5096567993725242
danceability,0.5131916899066876,0.5131854756644387,0.000538522898499864,0.5149767418976465,0.5115983008026644
acousticness,0.5128754302718452,0.5131021750010571,0.0007966711566461985,0.5143074756656545,0.5095047896536896
speechiness,0.5128532714029608,0.5128372482126741,0.00048525367290647555,0.5138262690634402,0.511204061293619
key_error_score,0.5126290694528003,0.5125470827139126,0.0013055649880045219,0.5149767418976465,0.5113322531220456
valence,0.5119538906175809,0.5120166722804214,0.000876609545394255,0.5140008985316561,0.5098132965108393
key,0.5112851998632056,0.5113322531220456,0.014949477979082089,0.5514216296536562,0.4712428765904349
energy,0.5112503748923362,0.5111414068618383,0.000751226060777992,0.5135909172309266,0.5090653563583677
instrumentalness,0.5110072538801742,0.511331165242146,0.0007882565901210407,0.5120489763788839,0.5077606541219566
tempo,0.5010749616597409,0.5103100309656265,0.12755357356511746,0.9999999999999999,0.0
